k,E(k),H(k)
0.5,1.7808884383475843,0.0
1.5,16493058158.87724,-72310.27282613388
2.5,187.90095850027888,-109.24516947846223
3.5,505.0713806459553,82.03234911767868
4.5,700.9846373886663,-387.80515497642824
5.5,1287.236743336296,-527.6632518573014
6.5,1456.5758685523547,172.39784498216383
7.5,2187.7922352053124,-716.5306990447561
8.5,2652.0622104527815,300.1240695443718
9.5,3688.9198435357166,-1225.4150696133202
10.5,4270.3725970211,-1590.1823733722076
11.5,5062.159059359718,1204.7690407150071
12.5,6302.683345023352,-398.577403161986
13.5,7308.354770556581,1223.5399250569596
14.5,7899.298887911872,-3544.502088101204
15.5,9648.775097363912,-194.43332155428405
16.5,10229.326745897693,1079.946689279683
17.5,12341.791761836415,5901.580493240624
18.5,13094.34346524862,664.101571814909
19.5,15242.180551784899,4148.6361989460875
20.5,16673.50817474685,8093.758495755229
21.5,18165.25869709579,-3195.4533901814425
22.5,20179.468326176542,4391.815186252925
23.5,21902.705804398865,324.3907366794475
24.5,23449.20369614152,-4092.066980149541
25.5,25861.71432138452,4380.175419682212
26.5,27889.957575554934,-6624.153488567444
27.5,30151.43515369082,11730.57952446402
28.5,30693.328443293787,9922.503624520581
29.5,35201.24973123603,-14131.89879131991
30.5,35408.80262510868,-5134.2481495057855
31.5,39715.902479872566,-8904.343627190321
32.5,41388.023655552715,32068.903418317008
33.5,45208.07758911646,1523.8805724115716
34.5,46618.34085395993,17886.679489850227
35.5,50022.855400340304,-9330.50886524605
36.5,52537.74938734796,-13738.9120174849
37.5,55255.07461976223,10547.68430316403
38.5,58379.67828903068,-14429.14939393417
39.5,61709.4486443301,16147.905587469051
40.5,63793.146351327545,29883.002094611937
41.5,68388.43636992681,-31790.50418529805
42.5,71060.22418603546,-4170.126444044307
43.5,75796.69807878297,24155.46847584852
44.5,78258.14042997765,15491.79042473112
45.5,81769.29233998436,-24814.40706212207
46.5,84577.22038113397,-75636.96420015243
47.5,90464.51571066366,12857.11261262913
48.5,92203.14688935972,3904.455508442561
49.5,97353.69555553058,-80360.6561833549
50.5,100293.5094826445,-47919.468583127986
51.5,107253.63024714823,-87771.70882401643
52.5,108342.58924450268,33496.3574002853
53.5,114302.95000029447,26575.1784029041
54.5,115126.27087430531,524.8131130798906
55.5,123559.99258736412,25076.490483299865
56.5,124850.40809074751,-91925.55165248201
57.5,128808.1165613601,20914.46571314542
58.5,136616.56722621308,-26381.324941057424
59.5,138623.58118817743,11514.366267415397
60.5,146086.80424600234,-39239.44805113361
61.5,148317.67335114855,93194.40887647327
62.5,154094.40891137638,-34835.67421909203
63.5,161577.28087611526,-63978.03912355096
64.5,158126.20673586417,-15706.857157485532
65.5,159857.127920306,47205.24436792528
66.5,153563.7292566402,30335.84287821328
67.5,152649.39306931035,-22232.895291361918
68.5,149299.86543983186,-90214.73019451527
69.5,145457.95191589458,33455.89805750628
70.5,141417.5751819748,4516.3835904928455
71.5,138844.41067160948,31844.373844009002
72.5,133765.69716511876,27918.58227244706
73.5,132279.21679167286,-27984.665175361755
74.5,125491.74627870542,51088.25269794706
75.5,124940.76457433509,10401.251123151716
76.5,115885.0440331991,-22959.69909412096
77.5,113091.38440486911,-85952.61543789924
78.5,109264.41010358848,61127.74333502942
79.5,103636.04308205606,-28579.366512295015
80.5,98299.74207685694,-163271.7321837339
81.5,92880.89334963294,4487.117260610211
82.5,89044.36603665652,11797.583391379905
83.5,82294.72625239429,50636.49267616995
84.5,76635.7494459543,32919.76960722114
85.5,71021.76337190195,54059.59772815514
86.5,64000.79993087048,-23722.861620864132
87.5,60697.063410204435,-4842.608759638411
88.5,51020.48032928153,18716.306755784615
89.5,46895.84016415491,23246.86435852322
90.5,39944.59366790741,10781.321488017644
91.5,33779.05495052524,-35484.089931193426
92.5,29162.737492938217,-37051.35257862862
93.5,25545.284219788602,-21230.657591115727
94.5,22472.93970782759,19821.339893365937
95.5,19083.667325463637,37325.22555171124
96.5,15623.174117813336,21835.73886878595
97.5,14860.704245373268,-7382.943002499747
98.5,11536.29298574029,1267.3167629260702
99.5,9714.114727914952,5440.107893376708
100.5,7664.124993890872,11052.016187967592
101.5,6810.524828646035,-16053.07671509283
102.5,5167.2458652620635,22157.51903594975
103.5,3346.641748553519,29786.97726059615
104.5,2548.2134257722305,-9171.043569329111
105.5,2308.5777789964905,12808.910238545861
106.5,1368.7062907465188,10494.269381063601
107.5,682.2600274982241,2583.7092151614506
108.5,276.1425593485058,1124.44511846998
109.5,159.02825082643193,824.1893430353173
